ID	Date	CC	B	Label	Artists	Track	Comp	Length	BPM	Key	ignore this column	simplified key manual override	Key (Read Note)
h						NEW: Want to join the editing team?							
559746	2025-11-11	N	S	House	Mango & Cloudcage	Snowglobe	-	2:50	118				
559913	2025-11-10	N	U	Double Single	Teddy Killerz	Hybrid / Future	-	--:--	N/A	N/A	N/A		N/A
559913	2025-11-10	N	U	Drum & Bass	Teddy Killerz	Hybrid	-	3:33	175	D# min | D# loc	D# min		D# min
559913	2025-11-10	N	U	Drum & Bass	Teddy Killerz	Future	-	3:46	175	E min | E loc	E min		E min
559463	2025-11-07	N	U	Trap	Viperactive & Dillon Francis	LOUDER	-	2:15	145	E phr / E phr dom	E min		E min
560025	2025-11-06	N	I	House	WHIPPED CREAM	life	-	2:36	129	B min	B min		B min
559975	2025-11-05	N	U	Electro	Nostalgix & Kyra Mastro	Holy	-	3:04	135	E min	E min		E min
559890	2025-11-04	N	S	House	A.M.R & Aether	Without You	-	3:19	118	A min	A min		A min
559852	2025-11-03	N	U	EP	Habstrakt & Julienne By	Don't Let Me Down (Remixes)	-	--:--	N/A	N/A	N/A		N/A
559852	2025-11-03	N	U	Drum & Bass	Habstrakt & Julienne By	Don't Let Me Down (Synergy Remix)	-	2:40	174	A min	A min		A min
559852	2025-11-03	N	U	Trap	Habstrakt & Julienne By	Don't Let Me Down (Ailow Remix)	-	2:25	140	C# min	C# min		C# min
559852	2025-11-03	N	U	Electro	Habstrakt & Julienne By	Don't Let Me Down (ElmyX Remix)	-	3:02	132	A min	A min		A min
559852	2025-11-03	N	U	Trap	Habstrakt & Julienne By	Don't Let Me Down (IKU Remix)	-	3:08	140	D phr	D min		D min
559852	2025-11-03	N	U	Garage	Habstrakt & Julienne By	Don't Let Me Down (Gaszia Remix)	-	3:47	139	A# min	A# min		A# min
559968	2025-10-31	N	U	Techno	Naeleck & Andrea Botez	Reaper	-	2:14	155	F har min	F min		F min
559906	2025-10-30	N	I	House	Syn Cole	Momentum	-	3:00	130	C# min	C# min		C# min
559715	2025-10-29	N	U	Drum & Bass	Dirtyphonics & IVORY	On Lock	-	3:02	174	D phr dom	D min		D min
559456	2025-10-28	Y	S	EP	Stendahl	Make You Mine	-	--:--	N/A	N/A	N/A		N/A
559456	2025-10-28	Y	S	House	Stendahl	Make You Mine	-	2:33	118	C# maj	C# maj		C# maj
559456	2025-10-28	Y	S	House	Stendahl	Do No Wrong	-	3:02	118	A min	A min		A min
557094	2025-10-27	M	U	EP	F.O.O.L	The Future	-	--:--	N/A	N/A	N/A		N/A
557094	2025-10-27	Y	U	Electro	F.O.O.L	The Future	-	4:22	134	E min | E har min | E phr	E min		E min
557094	2025-10-27	N	U	Synthwave	F.O.O.L	Overdrive	-	3:23	110	C min | C har min	C min		C min
557094	2025-10-27	Y	U	Breaks	F.O.O.L	Drifter	-	3:23	132	(G phr | G phr dom) / (G min | G har min)	G min		G min
